"ELM"	"GOTerm"
"CLV_C14_Caspase3-7"	"GO:0006915"
"CLV_C14_Caspase3-7"	"GO:0030154"
"CLV_C14_Caspase3-7"	"GO:0008283"
"CLV_C14_Caspase3-7"	"GO:0004197"
"CLV_C14_Caspase3-7"	"GO:0005829"
"CLV_C14_Caspase3-7"	"GO:0005634"
"CLV_C14_Caspase3-7"	"GO:0005515"
"CLV_C14_Caspase3-7"	"GO:0006508"
"CLV_C14_Caspase3-7"	"GO:0001817"
"CLV_MEL_PAP_1"	"GO:0003793"
"CLV_MEL_PAP_1"	"GO:0005576"
"CLV_MEL_PAP_1"	"GO:0006508"
"CLV_NRD_NRD_1"	"GO:0009928"
"CLV_NRD_NRD_1"	"GO:0005576"
"CLV_NRD_NRD_1"	"GO:0005794"
"CLV_NRD_NRD_1"	"GO:0004222"
"CLV_NRD_NRD_1"	"GO:0016919"
"CLV_NRD_NRD_1"	"GO:0006508"
"CLV_PCSK_FUR_1"	"GO:0005576"
"CLV_PCSK_FUR_1"	"GO:0004276"
"CLV_PCSK_FUR_1"	"GO:0005794"
"CLV_PCSK_FUR_1"	"GO:0000139"
"CLV_PCSK_FUR_1"	"GO:0006508"
"CLV_PCSK_KEX2_1"	"GO:0005576"
"CLV_PCSK_KEX2_1"	"GO:0005794"
"CLV_PCSK_KEX2_1"	"GO:0004290"
"CLV_PCSK_KEX2_1"	"GO:0006508"
"CLV_PCSK_PC1ET2_1"	"GO:0005576"
"CLV_PCSK_PC1ET2_1"	"GO:0005794"
"CLV_PCSK_PC1ET2_1"	"GO:0000139"
"CLV_PCSK_PC1ET2_1"	"GO:0004285"
"CLV_PCSK_PC1ET2_1"	"GO:0004286"
"CLV_PCSK_PC1ET2_1"	"GO:0006508"
"CLV_PCSK_PC7_1"	"GO:0005576"
"CLV_PCSK_PC7_1"	"GO:0005794"
"CLV_PCSK_PC7_1"	"GO:0000139"
"CLV_PCSK_PC7_1"	"GO:0016808"
"CLV_PCSK_PC7_1"	"GO:0006508"
"CLV_PCSK_SKI1_1"	"GO:0005783"
"CLV_PCSK_SKI1_1"	"GO:0005788"
"CLV_PCSK_SKI1_1"	"GO:0005576"
"CLV_PCSK_SKI1_1"	"GO:0005794"
"CLV_PCSK_SKI1_1"	"GO:0008233"
"CLV_PCSK_SKI1_1"	"GO:0006508"
"CLV_PCSK_SKI1_1"	"GO:0004289"
"CLV_Separin_Fungi"	"GO:0007049"
"CLV_Separin_Fungi"	"GO:0005813"
"CLV_Separin_Fungi"	"GO:0008234"
"CLV_Separin_Fungi"	"GO:0005829"
"CLV_Separin_Fungi"	"GO:0004175"
"CLV_Separin_Fungi"	"GO:0045144"
"CLV_Separin_Fungi"	"GO:0000070"
"CLV_Separin_Fungi"	"GO:0005634"
"CLV_Separin_Fungi"	"GO:0005515"
"CLV_Separin_Metazoa"	"GO:0007049"
"CLV_Separin_Metazoa"	"GO:0005813"
"CLV_Separin_Metazoa"	"GO:0008234"
"CLV_Separin_Metazoa"	"GO:0005829"
"CLV_Separin_Metazoa"	"GO:0004175"
"CLV_Separin_Metazoa"	"GO:0045144"
"CLV_Separin_Metazoa"	"GO:0000070"
"CLV_Separin_Metazoa"	"GO:0005634"
"CLV_Separin_Metazoa"	"GO:0005515"
"CLV_TASPASE1"	"GO:0005634"
"CLV_TASPASE1"	"GO:0006350"
"DEG_APCC_DBOX_1"	"GO:0000074"
"DEG_APCC_DBOX_1"	"GO:0005829"
"DEG_APCC_DBOX_1"	"GO:0005634"
"DEG_APCC_DBOX_1"	"GO:0043161"
"DEG_APCC_DBOX_1"	"GO:0019904"
"DEG_APCC_KENBOX_2"	"GO:0000074"
"DEG_APCC_KENBOX_2"	"GO:0005829"
"DEG_APCC_KENBOX_2"	"GO:0005634"
"DEG_APCC_KENBOX_2"	"GO:0043161"
